TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"The Inventory of Parent and Peer Attachment: Individual Differences and their Relationship to Psychological Well-Being in Adolescence.","Armsden, G.C.; Greenberg, M.T.","1987"
"The Influence of Inner State on Self-Reported Long-term Happiness.","Aron, E.; Aron, A.","1987"
"The Satisfaction with Life Scales (SWLS):Psychometric Properties in a Non-Psychiatric Medical Outpatients Sample.","Arrindell, W.A.; Huyse, F.J.; Meeuwesen, L.","1991"
"Companionship Therapy with Nursing Home Aged.","Arthur, G.L.; Donnan, H.H.; Lair, C.V.","1973"
"Met de Beste Bedoelingen... - Over de Ideologie van de Verzorgingsstaat.","VanAsperen, G.M.","1981"
"Zelfwaardering en Verzet.","VanAssen, K.","1985"
"Retirement: Leaving the World of Work.","Atchley, R.C.","1982"
"The Stability and Validity of Quality of Life Measures.","Atkinson, T.H.","1982"
"Trends in Life Satisfaction among Canadians, 1968-1977.","Atkinson, T.H.","1979"
"Is Satisfaction a Good Measure of the Perceived Quality of Life?","Atkinson, T.H.","1978"
"The Social Costs of Unemployment: Implications for Social Support.","Atkinson, T.H.; Liem, J.H.; Liem, R.","1986"
"Die Kohärenz der Aristotelische Eudaimonia Lehre.","Aubenque, P.","1978"
"The Consequences of Being Single.","Austrom, D.R.","1984"
"Love and Work and the Quality of Life in Canada: Report on a Nation-Wide Survey.","Austrom, D.R.","1980"
"Youth in Transition, Vol. 1,2,3,4,5.","Bachman, J.G.; Davidson, R.L.; Johnson, L.D.; Kahn, R.L.; Mednick, M.T.","1970"
"Youth in Transition, Vol. VI. Adolescence to Adulthood. Change and Stability in the Lives of Young Men.","Bachman, J.G.; Johnston, J.; O'Malley, P.M.","1978"
"Life Graphs: Aging and Cohort Effect.","Back, K.W.; Brookover-Bourque, L.","1970"
"Personal Orientation and Morale of the Aged.","Back, K.W.; Gergen, K.J.","1966"
"Social Support and the Quality of Life Following Myocardial Infarction.","Badura, B.; Waltz, M.","1984"
"Correlates of Morale Among the Newly Widowed.","Bahr, H.M.; Harvey, C.D.","1980"
"Relationship of Retirement and Satisfaction with Life Events to Locus of Control.","Baker, E.K.","1976"
"Quality of Life in the Evaluation of Community Support Systems.","Baker, F.; Intagliata, J.","1982"
